"MEblue" "MEgreen" "MEroyalblue" "MEpurple" "MEcyan" "MEdarkred" "MElightyellow" "MEpink" "MEblack" "MEbrown" "MEsalmon" "MEtan" "MEgrey60" "MEmidnightblue"
1.11022302462516e-16 0.132097510951378 0.302235281326809 0.273317098187518 0.433240151931881 0.669676990735859 0.85768052270634 0.784172842145392 0.890797515718885 0.690062762829575 0.58947656645521 0.662775154341447 0.618722404872928 0.416443088035968
0.132097510951378 0 0.536073613177858 0.489113716481049 0.45332606877579 0.763501504612969 0.732916425987222 0.748076829266814 0.847245017715606 0.815062414815044 0.292722496783007 0.717402899923911 0.563407904267649 0.288672840779549
0.302235281326809 0.536073613177858 5.55111512312578e-17 0.365299650508468 0.409136207438326 0.408733629974883 0.754970019883814 0.681683130697271 0.61303107373801 0.504783748764176 0.876821815865753 0.638456004991269 0.625996833490705 0.500768408909975
0.273317098187518 0.489113716481049 0.365299650508468 0 0.337933552700518 0.312820962541011 0.830109791048156 0.612856188258769 0.683604428848509 0.332475622294545 0.758317328138666 0.487050746714859 0.752279249521948 0.777893912221348
0.433240151931881 0.45332606877579 0.409136207438326 0.337933552700518 5.55111512312578e-17 0.272623026721154 0.798678840007177 0.771018581062754 0.654546568768382 0.676935174210731 0.692994801154619 0.485365102196363 0.713235571455059 0.496248326537022
0.669676990735859 0.763501504612969 0.408733629974883 0.312820962541011 0.272623026721154 0 0.667225132300465 0.58086685772217 0.275693559086499 0.321409036886556 0.812979557911674 0.555302176222591 0.763620015037436 0.766377166768706
0.85768052270634 0.732916425987222 0.754970019883814 0.830109791048156 0.798678840007177 0.667225132300465 0 0.118575997829063 0.210385230554589 0.362649126544601 0.240068858684024 0.277635640059555 0.202464770050442 0.455020356274624
0.784172842145392 0.748076829266814 0.681683130697271 0.612856188258769 0.771018581062754 0.58086685772217 0.118575997829063 0 0.199726103188853 0.129060290131159 0.319328065791379 0.413918058160713 0.451658541259978 0.746059116043233
0.890797515718885 0.847245017715606 0.61303107373801 0.683604428848509 0.654546568768382 0.275693559086499 0.210385230554589 0.199726103188853 0 0.198628663235349 0.497330956401471 0.492724091394787 0.556400282118796 0.721954973454224
0.690062762829575 0.815062414815044 0.504783748764176 0.332475622294545 0.676935174210731 0.321409036886556 0.362649126544601 0.129060290131159 0.198628663235349 0 0.592604552956171 0.494766146229065 0.666210702294673 0.943044073166819
0.58947656645521 0.292722496783007 0.876821815865753 0.758317328138666 0.692994801154619 0.812979557911674 0.240068858684024 0.319328065791379 0.497330956401471 0.592604552956171 0 0.502319642212326 0.328921448308629 0.367299571134056
0.662775154341447 0.717402899923911 0.638456004991269 0.487050746714859 0.485365102196363 0.555302176222591 0.277635640059555 0.413918058160713 0.492724091394787 0.494766146229065 0.502319642212326 0 0.217505392578347 0.411342290703918
0.618722404872928 0.563407904267649 0.625996833490705 0.752279249521948 0.713235571455059 0.763620015037436 0.202464770050442 0.451658541259978 0.556400282118796 0.666210702294673 0.328921448308629 0.217505392578347 0 0.171653344270081
0.416443088035968 0.288672840779549 0.500768408909975 0.777893912221348 0.496248326537022 0.766377166768706 0.455020356274624 0.746059116043233 0.721954973454224 0.943044073166819 0.367299571134056 0.411342290703918 0.171653344270081 5.55111512312578e-17
