"","KOG_cat","Counts_DE","DE_others","ns_in_cat","ns_others","p.value","odds.ratio","q"
"1","INFORMATION_STORAGE_AND_PROCESSING",63,388,2818,12401,0.0135036853036086,0.714554457998209,0.0270073706072173
"2","METABOLISM",130,321,3573,11646,0.00963606745340956,1.31999954468762,0.0270073706072173
