"powerEstimate" "fitIndices.Power" "fitIndices.SFT.R.sq" "fitIndices.slope" "fitIndices.truncated.R.sq" "fitIndices.mean.k." "fitIndices.median.k." "fitIndices.max.k."
"1" 18 1 0.358465711557762 1.69983497187966 0.906108558651606 3446.39629573989 3497.72022478617 5332.93751929096
"2" 18 2 0.0121011605880624 -0.152207956583301 0.753267923289535 1606.41979251203 1574.87389209529 3327.96164980613
"3" 18 3 0.328096382856779 -0.760608783492083 0.806553457075208 876.880659950902 812.087651431532 2267.72255875212
"4" 18 4 0.501743763592536 -1.13265134307174 0.830436543451147 526.41970401709 458.84264083495 1642.67145920641
"5" 18 5 0.574351148678863 -1.37510746178685 0.849860793112769 337.361133671514 273.881879587127 1233.6741192023
"6" 18 6 0.628277486510376 -1.49944147026168 0.877473482062324 226.940100256207 171.796964201316 951.448512402849
"7" 18 7 0.656276271421249 -1.58983544068549 0.89188621615342 158.548985202002 112.129122556061 749.016893755454
"8" 18 8 0.684608448287 -1.65259028136306 0.9074046684342 114.212009117679 75.0240633569244 599.441568868939
"9" 18 9 0.717678212877617 -1.67970903950891 0.925137779010516 84.3920042122679 51.7285263822037 486.279037502279
"10" 18 10 0.739478004225801 -1.69720605959192 0.937574157033235 63.7154343687182 36.3307222048737 398.996733346073
"11" 18 11 0.740066300433281 -1.74218839606922 0.935219320243916 49.0047063768853 26.1613274937505 330.583762912471
"12" 18 12 0.763352443918214 -1.73223379814689 0.94398527530028 38.3042339879934 19.101913162097 276.223943019533
"13" 18 13 0.772586647719174 -1.73595615535827 0.947211084277583 30.3692798523943 14.1721451752157 232.520422198272
"14" 18 18 0.850469590756123 -1.63411918723609 0.979506679889464 11.230740342184 3.90681578048006 109.010016313971
"15" 18 23 0.878336659390825 -1.65102090837898 0.989910386570308 5.05529580142868 1.3275024379616 61.6790171089168
"16" 18 28 0.900955287036566 -1.61971198677055 0.996297654769598 2.59408804281074 0.524079200270443 37.7924322271055
"17" 18 33 0.910055985321838 -1.61058437183403 0.997091221229391 1.46139262652199 0.225455688308752 25.0119921917108
