"powerEstimate" "fitIndices.Power" "fitIndices.SFT.R.sq" "fitIndices.slope" "fitIndices.truncated.R.sq" "fitIndices.mean.k." "fitIndices.median.k." "fitIndices.max.k."
"1" 12 1 0.334513239709017 2.98637194382359 0.953846386857406 2803.11771762829 2775.77588371326 4010.64230507554
"2" 12 2 0.0333524201763512 0.480344246484352 0.930823937421575 1116.98226746326 1078.53214647615 2099.52060552817
"3" 12 3 0.0670527060417949 -0.546534890576165 0.908799723637531 539.612316651144 502.847090786939 1258.92112529943
"4" 12 4 0.288677299060302 -1.01985848398363 0.921454055070442 294.067736741855 263.586369364417 813.860794816217
"5" 12 5 0.483657101195868 -1.21009336135872 0.949745680208023 174.397398075362 148.618025833176 553.905186219159
"6" 12 6 0.637289093708465 -1.45716095168587 0.958568196036043 110.200106156051 88.8839669117467 404.511854278883
"7" 12 7 0.72431326394568 -1.57057220942306 0.972762752792539 73.1824105294565 55.6126728705844 306.331915239437
"8" 12 8 0.779467808632653 -1.68880872963646 0.978038661188264 50.5900726392469 36.0580141278162 240.473786790906
"9" 12 9 0.811247392262115 -1.77922716161569 0.980575303180532 36.1518637560354 24.1509856780534 194.704199161492
"10" 12 10 0.823890325535716 -1.84080889461828 0.97884390510635 26.5651959647671 16.5739580508184 160.588167556061
"11" 12 11 0.846074056448322 -1.8614004357793 0.985510291381924 19.9908400357372 11.6314968588524 134.459278262354
"12" 12 12 0.862893625233609 -1.86653599672302 0.990273429525169 15.3556436123915 8.30202472444065 114.892103540454
"13" 12 13 0.876713839534885 -1.87032564226479 0.992559597434514 12.0081661816967 6.03839818242725 99.2554679805948
"14" 12 18 0.887892135682636 -1.8500567085379 0.989763446162082 4.30506557904194 1.52516488572315 52.8738588910932
"15" 12 23 0.906686997176912 -1.73952270310901 0.990022853060841 1.94785789642666 0.490161106661536 31.7047119177981
"16" 12 28 0.866840393078519 -1.81744868281207 0.982814460491096 1.02219440764776 0.179824712285945 22.6864306357001
"17" 12 33 0.83113966337942 -1.88135067947074 0.94661282061979 0.59423030186835 0.0732975232400899 17.4451407173918
