"powerEstimate" "fitIndices.Power" "fitIndices.SFT.R.sq" "fitIndices.slope" "fitIndices.truncated.R.sq" "fitIndices.mean.k." "fitIndices.median.k." "fitIndices.max.k."
"1" 28 1 0.390076605804993 2.08924608458043 0.919519351394913 3626.66352641359 3697.081344102 5354.27412269315
"2" 28 2 0.00284788039802521 0.0988713854595168 0.786289536168687 1737.96107481227 1741.84809565888 3350.64582209367
"3" 28 3 0.138983245519452 -0.658192279452574 0.779680467028492 965.628750958263 938.777478334222 2268.68205933348
"4" 28 4 0.31486156079557 -1.03522530074854 0.816463513188118 587.369337564189 552.130407612739 1609.06597138197
"5" 28 5 0.437623726735493 -1.22335724523029 0.853828500935493 380.629133085448 344.331224484759 1179.02250434343
"6" 28 6 0.515957783240361 -1.33746315075714 0.87164153812178 258.708529330575 223.288898341183 885.833457893848
"7" 28 7 0.584657518810924 -1.39083661448993 0.895390695745832 182.600683104682 150.696853640892 679.217225328518
"8" 28 8 0.671647592260736 -1.3478963988408 0.941726506357245 132.917787304516 104.553836687478 530.842559216004
"9" 28 9 0.70953602088898 -1.45592062221623 0.952948213168757 99.2819006601026 74.2516401268401 438.60169877562
"10" 28 10 0.731230870224008 -1.56352977224686 0.959173552763307 75.8064807140185 53.891729913173 371.222649944859
"11" 28 11 0.757950225256869 -1.64605007136681 0.968393915423625 58.9921631428648 39.6104584140211 318.537381864096
"12" 28 12 0.753087776462062 -1.75316719617352 0.958038570667045 46.6759132554683 29.8135629048745 276.531979223943
"13" 28 13 0.770644670721046 -1.80516457934061 0.961616514605871 37.4756980419463 22.5931717394718 242.470769380163
"14" 28 18 0.802201014930485 -1.94051285630476 0.962077202324794 14.8273277635296 6.69785430319412 140.146040409075
"15" 28 23 0.845255382045297 -1.93103970155804 0.979617319599746 7.16672039042448 2.44713359460592 91.1102705926398
"16" 28 28 0.872317442074112 -1.87637814275385 0.993482639177402 3.94779748097345 1.0042649904244 63.5239315609005
"17" 28 33 0.885814690385376 -1.82943395023059 0.996080176299 2.38180316215003 0.458458841063952 46.3791960477423
